	1ST ENTERPRISE BANK	LOS ANGELES,CA		FEBKUS6LXXX
71	BANCO ESPIRITO SANTO	NEW YORK,NY		BESCUS33XXX
72	BANCO ESPIRITO SANTO DE INVESTIMENTO, S.A.	NEW YORK,NY		ESSIUS3NXXX
73	BANCO ESTADO DE CHILE NEW YORK BRANCH.	NEW YORK,NY		BECHUS33XXX
74	BANCO INDUSTRIAL DE VENEZUELA	NEW YORK,NY		INDSUS33XXX
75	BANCO INDUSTRIAL DE VENEZUELA, C.A. MIAMI AGENCY	MIAMI,FL		INDSUS3MXXX
76	BANCO INTERNACIONAL DE COSTA RICA, MIAMI AGENCY	CORAL GABLES,FL		COSRUS3MXXX
77	BANCO ITAU EUROPA INTERNATIONAL	MIAMI,FL		ITAUUS3MXXX
78	BANCO LATINOAMERICANO DE COMERCIO EXTERIOR S.A.	NEW YORK,NY		BLAEUS3XXXX
79	BANCO SANTANDER INTERNATIONAL	MIAMI,FL		BDERUS3MXXX
80	BANCO SANTANDER S.A. NEW YORK	NEW YORK,NY	(NEW YORK BRANCH)	BSCHUS33XXX
81	BANCOLOMBIA S.A. MIAMI AGENCY	MIAMI,FL		COLOUS33XXX
82	BANCOMER TRANSFER SERVICES INC.	HOUSTON,TX	(BANCOMER FOREIGN EXCHANGE)	BTSIUS44BFX
83	BANCOMER TRANSFER SERVICES INC.	HOUSTON,TX	(BANCOMER TRANSFER SERVICES)	BTSIUS44BTS
84	BANCOMER TRANSFER SERVICES INC.	HOUSTON,TX		BTSIUS44XXX
85	BANESCO USA	CORAL GABLES,FL		BBUBUS33XXX
86	BANGKOK BANK PUBLIC COMPANY LIMITED, NEW YORK	NEW YORK,NY		BKKBUS33XXX
87	BANGOR SAVINGS BANK	BANGOR,ME		BSMEUS33XXX
88	BANK HAPOALIM B.M.	CHICAGO,IL		POALUS33CHG
89	BANK HAPOALIM B.M.	MIAMI,FL	(MIAMI BRANCH)	POALUS33MIA
90	BANK HAPOALIM B.M.	NEW YORK,NY		POALUS33XXX
91	BANK HAPOALIM B.M.	WASHINGTON,DC	(GEORGETOWN BRANCH)	POALUS33GTN
92	BANK LEUMI USA	CHICAGO,IL		LUMIUS3NCHI
93	BANK LEUMI USA	LOS ANGELES,CA		LUMIUS3NLAX
94	BANK LEUMI USA	MIAMI,FL	(MIAMI BRANCH)	LUMIUS3NMIA
95	BANK LEUMI USA	NEW YORK,NY		LUMIUS3NXXX
96	BANK NEGARA INDONESIA (PERSERO) PT., NEW YORK AGENCY	NEW YORK,NY		BNINUS33XXX
97	BANK OF AMERICA, N.A.	CHARLOTTE,NC	(BANK OF AMERICA SECURITIES AUSTRALIA LIMITED, BAS AUSTRALIA)	BOFAUS3DAU2
98	BANK OF AMERICA, N.A.	CHARLOTTE,NC	(BANK OF AMERICA SINGAPORE LIMITED BASL ACU)	BOFAUS3DSG3
99	BANK OF AMERICA, N.A.	CHARLOTTE,NC	(BANK OF AMERICA SINGAPORE LIMITED)	BOFAUS3DSG2
100	BANK OF AMERICA, N.A.
