COMPANY	COUNTRY	MARKET
Household Financial Corp. Ltd.	Canada	OTC - Debt
HQI Translec Chile S.A.	Chile	OTC - Debt
HSBC Bank plc	United Kingdom	NYSE - Debt
HSBC Holdings plc	United Kingdom	NYSE
Huaneng Power International Inc.	China	NYSE
Hummingbird Ltd.	Canada	NMS
Huntingdon Life Sciences Group plc	United Kingdom	OTC
Hurricane Hydrocarbons Ltd.	Canada	NMS
Husky Energy Inc.	Canada	OTC - Debt
Hydro One Inc.	Canada	OTC - Debt
Hydrogenics Corp.	Canada	NMS
I.I.S. Intelligent Information Systems Ltd.	Israel	NMS
iaNett International Systems Ltd.	Canada	OTC
I-Cable Communications Ltd.	Hong Kong	NMS
ICICI Bank Ltd.	India	NYSE
ICICI Ltd.	India	NYSE
ICON plc	Ireland	NMS
ICOS Vision Systems Corp N.V.	Belgium	NMS
ICTS International N.V.	Netherlands	NMS
ID Biomedical Corp.	Canada	SM CAP
IFCO Systems N.V.	Netherlands	NMS
IGN Internet Global Network Inc.	Canada	OTC
Ilog S.A.	France	NMS
IMA Exploration Inc.	Canada	OTC
IMagic TV Inc.	Canada	NMS
Imax Corp.	Canada	NMS
Immune Network Research Ltd.	Canada	OTC
IMP Industrial Mineral Park Mining Corp.	Canada	OTC
Imperial Chemical Industries plc	United Kingdom	NYSE
Imperial Ginseng Products, Ltd.	Canada	OTC
Imperial Oil Ltd.	Canada	AMEX
Imperial Tobacco Group plc	United Kingdom	NYSE
Impress Metal Packaging Holdings B.V.	Netherlands	OTC
Incam AG	Germany	SM CAP
Inco Ltd.	Canada	NYSE
Indigo N.V.	Neth. Antilles	NMS
Indo-Pacific Energy Ltd.	New Zealand	OTC
Industrial Development Bank of Israel Ltd.	Israel	OTC - Preferred
Industrias Bachoco S.A. de C.V.	Mexico	NYSE
Industrie Natuzzi S.p.A.	Italy	NYSE
Industriforvaltnings AB Kinnevik	Sweden	NMS
Ineos Acrylics Group Holdings plc	United Kingdom	OTC - Debt
Inficon Holding AG	Switzerland	NMS
Infineon Technologies AG	Germany	NYSE
Infosys Technologies Inc.	India	NMS
Infovista S.A.	France	NMS
Infowave Software Inc.	Canada	OTC
ING Groep N.V.	Netherlands	NYSE
Innogy Holdings plc	United Kingdom	NYSE
Innova, S. de R.L.	Mexico	OTC - Debt
Inside Holdings Inc.	Canada	OTC
Instrumentarium Corp.	Finland	SM CAP
Instrumentation Laboratory S.p.A.	Italy	OTC
Intasys Corp.	Canada	SM CAP
Internacional de Ceramica S.A. de C.V.	Mexico	NYSE
International Absorbents Inc.	Canada	OTC
International Briquettes Holding	Cayman Islands	NMS
International Financial Group Inc.	Cayman Islands	OTC
International Freegold Mineral Development	Canada	OTC
International Hi Tech Industries Inc.	Canada	OTC - Debt
International Power plc	United Kingdom	NYSE
International Thunderbird Gaming Corp.	Canada	OTC
International Tower Hill Mines Ltd.	Canada	OTC
International Uranium Corp.	Canada	OTC
International Utility Structures Inc.	Canada	OTC - Debt
Internet Gold - Golden Lines Ltd.	Israel	NMS
Internet Initiative Japan Inc.	Japan	NMS
Intershop Communications Aktiengesellshaft	Germany	NMS
Intertape Polymer Group Inc.	Canada	NYSE
Intertek Testing Services Ltd.	United Kingdom	OTC - Debt
Intier Automotive Inc.	Canada	NMS
Intravelnet.com Inc.	Canada	OTC
Intrawest Corp.	Canada	NYSE
Investors Group Inc.	Canada	OTC
Iona Technologies Ltd.	Ireland	NMS
Ipsco Inc.	Canada	NYSE
IRSA Inversiones y Representacions, S.A.	Argentina	NYSE
Ispat International N.V.	Netherlands	NYSE
Itemus Inc.	Canada	OTC
Ito-Yokado Co. Ltd.	Japan	NMS
Ivanhoe Energy Inc.	Canada	NMS
IWI Holding Ltd.	British Virgin Islands	OTC
iXOS Software Aktiengesellschaft	Germany	NMS
Jacada Ltd.	Israel	NMS
James Hardie Industries N.V.	Netherlands	NYSE
Jazztel plc	United Kingdom	NMS
Jefferson Smurfit plc	Ireland	NYSE
Jewett Cameron Trading Co.	Canada	SM CAP
Jilin Chemical Industrial Co. Ltd.	China	NYSE
Jinpan International Ltd.	British Virgin Islands	AMEX
Jupiters Ltd.	Australia	OTC - Debt
Kafus Industries Ltd.	Canada	OTC
Kappa Beheer B.V.	Netherlands	OTC - Debt
Kenrich Mining Corp.	Canada	OTC
Keywest Energy Corp.	Canada	OTC
Kingsway Financial Services, Inc.	Canada	NYSE
Kinross Gold Corp.	Canada	AMEX
Klinair Environmental Technologies Ltd.	British Virgin Islands	OTC - Debt
KLM Royal Dutch Airlines	Netherlands	NYSE
Knightsbridge Tankers Ltd.	Bermuda	NMS
Komatsu Ltd.	Japan	OTC
Koninklijke KPN N.V.	Netherlands	NYSE
Kookmin Bank	Korea	NYSE
Koor Industries Ltd.	Israel	NYSE
Korea Electric Power Corp.	Korea	NYSE
Korea Telecom Corp.	Korea	NYSE
Korea Thrunet Ltd.	Korea	NMS
Kowloon-Canton Railway Corp.	Hong Kong	NYSE - Debt
KPNQwest N.V.	Netherlands	NMS
Kubota Corp.	Japan	NYSE
Kyocera Corp.	Japan	NYSE
Lafarge	France	NYSE
Laidlaw Inc.	Canada	OTC
Lanoptics Ltd.	Israel	NMS
Las Vegas from Home.com Entertainment Inc.	Canada	OTC
Lastminute.com plc	United Kingdom	NMS
Latin American Export Bank	Panama	NYSE
Leader Mining International Inc.	Canada	OTC
Leading Brands, Inc.	Canada	SM CAP
Legrand	France	OTC - Debt
Leica Geosystems Finance plc	United Kingdom	OTC - Debt
Leitch Technology Corp.	Canada	NMS
Levon Resources Ltd.	Canada	OTC
Lihir Gold Ltd.	Papua New Guinea	NMS
Linea Aerea Nacional Chile S.A.- LanChile	Chile	NYSE
LinuxWizardry Systems, Inc.	Canada	OTC
Lion Bioscience Aktiengesellschaft	Germany	NMS
Lions Gate Entertainment Corp.	Canada	AMEX
Liquidation World Inc.	Canada	NMS
LJ International Ltd.	British Virgin Islands	NMS
Lloyds TSB Group plc	United Kingdom	NYSE
LML Payment Systems Inc.	Canada	SM CAP
Localiza Rent-a-Car S.A.	Brazil	OTC - Debt
Loewen Group Inc.	Canada	OTC
LogicalOptions International Inc.	Canada	OTC
Logitech International S.A.	Switzerland	NMS
London Electricity Group plc	United Kingdom	OTC - Debt
London Pacific Group Ltd.	United Kingdom	NYSE
Lorus Therapeutics Inc.	Canada	OTC
Lund Ventures Ltd.	Canada	OTC
Luxfer Holdings plc	United Kingdom	OTC - Debt
Luxottica Group S.p.A.	Italy	NYSE
LVMH Moet-Hennessy Louis Vuitton	France	NMS
Macronix International Co.	Taiwan	NMS
Mad Catz Interactive, Inc.	Canada	AMEX
Madeco S.A.	Chile	NYSE
Madge Networks N.V.	Netherlands	NMS
Madison Enterprises Corp.	Canada	OTC
Magal Security Systems Ltd.	Israel	NMS
Magic Software Enterprises Ltd.	Israel	NMS
Magna International Inc.	Canada	NYSE
Magyar Tavkozlesi RT. - MATAV	Hungary	NYSE
Mahanagar Telephone Nigam Ltd.	India	NYSE
Makita Corp.	Japan	NMS
Manhattan Minerals Corp.	Canada	OTC
Manulife Financial Corp.	Canada	NYSE
Marconi plc	United Kingdom	NMS
Marnetics Broadband Technologies Ltd.	Israel	AMEX
Marsulex Inc.	Canada	OTC - Debt
Masisa S.A.	Chile	NYSE
Masonite International Corp.	Canada	NYSE
Matav Cable Systems Media Ltd.	Israel	NMS
Matsushita Electric Industrial Co.	Japan	NYSE
Maxcom Telecomunicaciones, S.A. de C.V.	Mexico	OTC - Debt
Mayne Nickless Ltd.	Australia	OTC
MC Shipping Inc	Liberia	AMEX
MDC Co.	Canada	NMS
MDS Inc.	Canada	NYSE
MDSI Mobile Data Solutions Inc.	Canada	NMS
Med Emerg International Ltd.	Canada	OTC
Med Net International Ltd.	Bermuda	OTC
Mentergy Ltd.	Israel	NMS
MEPC plc	United Kingdom	NYSE - Preferred
Mer Telemanagement Solutions Ltd.	Israel	NMS
Merant plc	United Kingdom	NMS
Mercury Partners & Co. Inc.	Canada	OTC
Mercury Scheduling Systems Inc.	Canada	OTC
Meridian Gold Inc.	Canada	NYSE
Messer Griesheim Holding AG	Germany	OTC - Debt
Metal Storm Ltd.	Australia	SM CAP
Metalink Ltd.	Israel	NMS
Metallica Resources Inc.	Canada	OTC
Methanex Corp.	Canada	NMS
Metro International S.A.	Luxembourg	NMS
MetroGas S.A.	Argentina	NYSE
Metso Oy	Finland	NYSE
MFC Bancorp Ltd.	Canada	NMS
Microcell Telecommunications Inc.	Canada	NMS
Micrologix Biotech, Inc.	Canada	OTC
Micromem Technologies Inc.	Canada	OTC
Midland Bank plc	United Kingdom	NYSE - Preferred
MIH Ltd.	British Virgin Islands	NMS
Millar Western Forest Products Ltd.	Canada	OTC - Debt
Millenium Seacarriers, Inc.	Cayman Islands	OTC - Debt
Millicom International Cellular S.A.	Luxembourg	NMS
Minco Mining and Metals Corp.	Canada	OTC
Mind C.T.I. Ltd.	Israel	NMS
Minefinders Corp. Ltd.	Canada	OTC
Mirae Corp.	Korea	NMS
Miramar Mining Co.	Canada	OTC
Mirtronics Inc.	Canada	OTC
Misty Mountain Gold Ltd.	Canada	OTC
Mitsubishi Tokyo Financial Group, Inc.	Japan	NYSE
Mitsui & Company Ltd.	Japan	NMS
Mitsui Sumitomo Insurance Co. Ltd.	Japan	OTC
mmO2 plc	United Kingdom	NYSE
Mobile Telesystems OJSC	Russia	NYSE
Modern Times Group MTG AB	Sweden	NMS
Moore Corp. Ltd.	Canada	NYSE
Mountain Province Diamonds, Inc.	Canada	OTC
M-Systems Flash Disk Pioneers Ltd.	Israel	NMS
MTR Corp.	Hong Kong	OTC - Debt
Multicanal S.A.	Argentina	OTC
Murrin Murrin Holdings Pty Ltd.	Australia	OTC - Debt
Nam Tai Electronics Inc.	British Virgin Islands	NMS
Namibian Minerals Corp.	Canada	NMS
National Australia Bank Ltd.	Australia	NYSE
National Bank of Greece S.A.	Greece	NYSE
National Grid Group plc	United Kingdom	NYSE
National Westminster plc	United Kingdom	NYSE
NCE Petrofund Ltd.	Canada	AMEX
NDS Group plc	United Kingdom	NMS
NDT Ventures Ltd.	Canada	OTC
NEC Corp.	Japan	NMS
Nera ASA	Norway	NMS
Net Matrix Ltd.	British Virgin Islands	OTC
Net Nanny Software International Inc.	Canada	OTC
Net Sat Servicos Ltda.	Brazil	OTC
Netco Energy Inc.	Canada	OTC
Netease.com Inc.	Cayman Islands	NMS
Netia Holdings S.A.	Poland	NMS
Nettron.com Corp.	Canada	OTC
New China Homes, Ltd.	Cayman Islands	NMS
New Millennium Metals Corp.	Canada	OTC
New Skies Satellites N.V.	Netherlands	NYSE
New Tel Ltd.	Australia	SM CAP
New York Broker Deutschland AG	Germany	OTC
NewKidCo International Inc.	Canada	OTC
News Corporation Ltd.	Australia	NYSE
Nexen Inc.	Canada	NYSE
Nexus Telocation Systems Ltd.	Israel	SM CAP
Nice Systems Ltd.	Israel	NMS
Nicholas Financial Inc.	Canada	SM CAP
Nidec Corp.	Japan	NYSE
Nippon Telegraph and Telephone Corp.	Japan	NYSE
Noga Electro-Mechanical Industries (1986) Ltd.	Israel	NMS
Nokia Corp.	Finland	NYSE
Nomura Holdings, Inc.	Japan	NYSE
Norampac Inc.	Canada	OTC - Debt
Noranda Inc.	Canada	NYSE
Nord Pacific Ltd.	Canada	OTC
Nordic American Tanker Shipping Ltd.	Bermuda	AMEX
Normandy Yandal Operations Ltd.	Australia	OTC
Norsat International Inc.	Canada	SM CAP
Norsk Hydro A/S	Norway	NYSE
Nortel Inversora S.A.	Argentina	NYSE
Nortel Networks Corp.	Canada	NYSE
North American Palladium Ltd.	Canada	AMEX
Northern Crown Mines Ltd.	Canada	OTC
Northern Offshore ASA	Norway	OTC - Debt
Northern Rock plc	United Kingdom	OTC
Nortran Pharmaceuticals Inc.	Canada	OTC
Nova Chemicals Corp.	Canada	NYSE
Nova Gas Transmission Ltd.	Canada	NYSE - Debt
Nova Measuring Instruments Ltd.	Israel	NMS
Novamerican Steel Inc.	Canada	NMS
Novartis AG	Switzerland	NYSE
NovAtel Inc.	Canada	NMS
Novel Denim Holdings Ltd.	British Virgin Islands	NMS
Novogen Ltd.	Australia	NMS
Novo-Nordisk A/S	Denmark	NYSE
Nur Macroprinters Ltd.	Israel	NMS
Nymox Pharmaceutical Corp.	Canada	NMS
O&Y Properties Corp.	Canada	OTC
O2micro International Ltd.	Cayman Islands	NMS
Occidente y Caribe Celular S.A.	Colombia	OTC - Debt
Oce N.V.	Netherlands	NMS
Ocean Rig ASA	Norway	OTC - Debt
Officeland Inc.	Canada	OTC
Olicom A/S	Denmark	OTC
Olympic Resources Ltd.	Canada	OTC
Omninet International Ltd.	Bermuda	OTC
Oncolytics Biotech Inc.	Canada	NMS
Open Joint Stock Company of Long Distance - Rostelecom	Russia	NYSE
Open Text Co.	Canada	NMS
OpenTV Ltd.	British Virgin Islands	NMS
Optibase Ltd.	Israel	NMS
Optimal Robotics Corp.	Canada	NMS
Orange plc	United Kingdom	OTC - Debt
Orbital Engine Corp Ltd.	Australia	NYSE
Orbotech Ltd.	Israel	NMS
Orchestream Holdings plc	United Kingdom	NMS
Orckit Communications Ltd.	Israel	NMS
Orient-Express Hotels Ltd.	Bermuda	NYSE
Origin Energy Ltd.	Australia	OTC
Orix Corp.	Japan	NYSE
Oromin Explorations Ltd.	Canada	OTC
Orthofix International N.V.	Neth. Antilles	NMS
Oxford Glycosciences plc	United Kingdom	NMS
P&O Princess Cruises plc	United Kingdom	NYSE
P.T. Indah Kiat Pulp & Paper Corp Tbk	Indonesia	OTC - Debt
P.T. Indonesian Satellite Corp. Tbk	Indonesia	NYSE
P.T. Pabrik Kertas Tjiwi Kimia Tbk	Indonesia	OTC - Debt
P.T. Pasifik Satelit Nusantara Tbk	Indonesia	OTC
P.T. Pindo Deli Pulp & Paper Mills	Indonesia	OTC - Debt
P.T. Telekomunikasi Indonesia Tbk	Indonesia	NYSE
P.T. Tri Polyta Indonesia Tbk	Indonesia	OTC
Pacific Century Cyberworks Ltd.	Hong Kong	NYSE
Pacific Dunlop Ltd.	Australia	NMS
Pacific Internet Ltd.	Singapore	NMS
Pacific North West Capital Corp.	Canada	OTC
Pacific Rim Mining Corp.	Canada	OTC
Pacifica Papers Inc.	Canada	OTC - Debt
Paladin Resources NL	Australia	OTC
Pan American Silver Co.	Canada	NMS
PanCanadian Energy Ltd.	Canada	NYSE
Paperboard Industries International Corp.	Canada	OTC - Debt
Paradigm Geophysical Ltd.	Israel	NMS
Parthus Technologies plc	Ireland	NMS
Partner Communications Co. Ltd.	Israel	NMS
PartnerRe Ltd.	Bermuda	NYSE
Pcom AG	Germany	NMS
PDVSA Finance Ltd.	Cayman Islands	OTC - Debt
Peace Arch Entertainment Group Inc.	Canada	AMEX
Peaksoft Multinet Corp.	Canada	OTC
Pearson plc	United Kingdom	NYSE
Pechiney	France	NYSE
Pepsi-Gemex S.A. de C.V.	Mexico	NYSE
Perdigao S.A.	Brazil	NYSE
Perez Companc S.A.	Argentina	NYSE
Perle Systems Ltd.	Canada	SM CAP
Peruvian Gold Ltd.	Canada	OTC
Petro-Canada	Canada	NYSE
PetroChina Co. Ltd.	China	NYSE
Petroleo Brasileiro S.A. - Petrobras	Brazil	NYSE
Petroleos de Venezuela	Venezuela	NYSE - Debt
Petroleos Mexicanos (Pemex)	Mexico	OTC - Debt
Petroleum Geo-Services A/S	Norway	NYSE
Petromin Resources Ltd.	Canada	OTC
Petsec Energy Ltd.	Australia	OTC
Pfeiffer Vacuum Technology AG	Germany	NYSE
Philippine Long Distance Telephone Co.	Philippines	NYSE
Philips Electronics N.V.	Netherlands	NYSE
Photochannel Networks Inc.	Canada	OTC
Pioneer Corp.	Japan	NYSE
Pivotal Corp.	Canada	NMS
PKI Solutions Inc.	Bahamas	OTC
Placer Dome Inc.	Canada	NYSE
Plaintree Systems Ltd.	Canada	OTC
Playstar Corp.	Antigua	OTC
PLC Systems Inc.	Canada	AMEX
Pohang Iron & Steel Co. Ltd.	Korea	NYSE
Polska Telefonia Cyfrowa Sp Z o o.	Poland	OTC - Debt
Polyair Inter Pack Inc.	Canada	AMEX
Polymet Mining Corp.	Canada	OTC
Portal Net Ltd.	British Virgin Islands	OTC
Portrush Petroleum Corp.	Canada	OTC
Portugal Telecom, SGPS, S.A.	Portugal	NYSE
Potash Corp. of Saskatchewan	Canada	NYSE
PowerGen plc	United Kingdom	NYSE
Precision Drilling Corp.	Canada	NYSE
Preem Holdings AB	Sweden	OTC - Debt
Premier Farnell plc	United Kingdom	NYSE
Premier International Foods plc	United Kingdom	OTC - Debt
PrimaCom AG	Germany	NMS
Princeton Media Group Inc.	Canada	OTC
Professional Staff plc	United Kingdom	NMS
Progen Industries Ltd.	Australia	SM CAP
Pro-Market Global plc	United Kingdom	OTC
Protherics plc	United Kingdom	OTC
Provalis plc	United Kingdom	NMS
Provida Pension Fund Administrator	Chile	NYSE
Provident Energy Trust	Canada	AMEX
Prudential plc	United Kingdom	NYSE
PSi Technologies Holdings, Inc.	Philippines	NMS
Publicis Groupe S.A.	France	NYSE
Publicis-Ariely Ltd.	Israel	OTC
Pyng Technologies Corp.	Canada	OTC
QI Systems Inc.	Canada	OTC
Qiagen N.V.	Netherlands	NMS
Qiao Xing Universal Telephone, Inc.	British Virgin Islands	NMS
QLT Inc.	Canada	NMS
QSC AG	Germany	NMS
QSound Labs Inc.	Canada	SM CAP
Quartz Mountain Gold Corp.	Canada	OTC
Quebecor Inc.	Canada	OTC
Quebecor Media Inc.	Canada	OTC - Debt
Quebecor World Inc.	Canada	NYSE
Queenstake Resources Ltd.	Canada	OTC - Debt
Quilmes Industrial Quinsa S.A.	Luxembourg	NYSE
Quinenco S.A.	Chile	NYSE
Quintalinux Ltd.	British Virgin Islands	NMS
QXL Ricardo plc	United Kingdom	NMS
Rada Electronic Industries Ltd.	Israel	NMS
Radcom Ltd.	Israel	NMS
Radica Games Ltd.	Bermuda	NMS
Radius Explorations Ltd.	Canada	OTC
Radvision Ltd.	Israel	NMS
Radware Ltd.	Israel	NMS
Randgold & Exploration Co. Ltd.	South Africa	NMS
Range Petroleum Corp.	Canada	OTC
Rank Group plc	United Kingdom	SM CAP
Realax Software AG	Germany	OTC
Receptagen, Ltd.	Canada	OTC
Rediff.com India Ltd.	India	NMS
Reed International plc	United Kingdom	NYSE
Reg Technologies Inc.	Canada	OTC
Regional Independent Media Group plc	United Kingdom	OTC - Debt
Regus plc	United Kingdom	NMS
Repadre Capital Corp.	Canada	OTC
Repsol YPF S.A.	Spain	NYSE
Republic Goldfields Inc.	Canada	OTC
Research in Motion Ltd.	Canada	NMS
Resource Finance & Investments Ltd.	Canada	OTC
Retalix Ltd.	Israel	NMS
Reuters Group plc	United Kingdom	NMS
Revenue Properties Co. Ltd.	Canada	OTC
Rhodia	France	NYSE
Richmont Mines Inc.	Canada	AMEX
Ricoh Company Ltd.	Japan	OTC
Rio Algom Ltd.	Canada	OTC
Rio Narcea Gold Mines Ltd.	Canada	OTC
Rio Tinto Ltd.	Australia	OTC
Rio Tinto plc	United Kingdom	NYSE
RIT Technologies Ltd.	Israel	NMS
Ritchie Bros. Auctioneers Inc.	Canada	NYSE
Riverdeep Group plc	Ireland	NMS
RoboGroup T.E.K. Ltd.	Israel	SM CAP
Robomatix Technologies Ltd.	Israel	OTC
Rockwell Ventures Inc.	Canada	OTC
Rogers Communications Inc.	Canada	NYSE
Rogers Wireless Communications Inc.	Canada	NYSE
Rosedale Decorative Products Ltd.	Canada	OTC
Royal & Sun Alliance Insurance Group plc	United Kingdom	NYSE
Royal Ahold Ltd. - Koninklijke Ahold N.V.	Netherlands	NYSE
Royal Bank of Canada	Canada	NYSE
Royal Bank of Scotland Group	United Kingdom	NYSE - Preferred
Royal Caribbean Cruises Ltd.	Liberia	NYSE
Royal Dutch Petroleum Co.	Netherlands	NYSE
Royal Group Technologies Ltd.	Canada	NYSE
Royal Olympic Cruise Lines Inc.	Liberia	NMS
Royal Standard Minerals Inc.	Canada	OTC
Rtica Corp.	Canada	OTC
Rubicon Minerals Corp.	Canada	OTC
Russel Metals Inc.	Canada	OTC
Ryanair Holdings plc	Ireland	NMS
Sadia S.A.	Brazil	NYSE
SAES Getters S.p.A.	Italy	NMS
Samex Mining Corp.	Canada	OTC
San Antonios Resources Inc.	Canada	OTC
San Telmo Resources Ltd.	Canada	OTC
Sand Technology Inc.	Canada	NMS
Sanpaolo-IMI S.p.A.	Italy	NYSE
Santa Isabel S.A.	Chile	NYSE
SAP Aktiengesellschaft	Germany	NYSE
Sapiens International Corp. N.V.	Neth. Antilles	NMS
Sappi Ltd.	South Africa	NYSE
Satelites Mexicanos S.A. de C.V.	Mexico	OTC - Debt
Satyam Computer Services Ltd.	India	NYSE
Satyam Infoway Ltd.	India	NMS
Savia, S.A. de C.V.	Mexico	NYSE
SBS Broadcasting S.A.	Luxembourg	NMS
Scania AB	Sweden	NYSE
Schering Aktiengesellschaft	Germany	NYSE
Schroder Ventures International Investment Trust	United Kingdom	OTC
Scitex Corp. Ltd.	Israel	NMS
Scoot.com plc	United Kingdom	OTC
SCOR	France	NYSE
Scottish Power plc	United Kingdom	NYSE
SCS Solars Computing Systems Inc.	Canada	OTC
Sea Containers Ltd.	Bermuda	NYSE
Seat Pagine Gialle S.p.A.	Italy	OTC
Secureview Systems Inc.	Canada	OTC
Sense Technologies Inc.	Canada	SM CAP
Serono S.A.	Switzerland	NYSE
Seven Seas Petroleum Inc.	Canada	AMEX
SGL Carbon Aktiengesellschaft	Germany	NYSE
Sharpe Resources Corp.	Canada	OTC
Shaw Communications Inc.	Canada	NYSE
Shell Canada Ltd.	Canada	OTC
Shell Transport and Trading Co. Ltd.	United Kingdom	NYSE
Siderca S.A.I.C.	Argentina	NYSE
Sideware Systems Inc.	Canada	OTC
Siemens Aktiengesellschaft	Germany	NYSE
Sierra Wireless, Inc.	Canada	NMS
Signet Group plc	United Kingdom	NMS
Silent Witness Enterprises Inc.	Canada	SM CAP
Silicom Ltd.	Israel	SM CAP
Siliconware Precision Industries Co. Ltd.	Taiwan	NMS
Silver Standard Resources Inc.	Canada	SM CAP
Silverado Gold Mines Ltd.	Canada	OTC
Silverline Technologies Ltd.	India	NYSE
Sina.com	Cayman Islands	NMS
Sinopec Shanghai Petrochemical Co. Ltd.	China	NYSE
Six Continents plc	United Kingdom	NYSE
SK Telecom Corp.	Korea	NYSE
Skyepharma plc	United Kingdom	NMS
SmarTire Systems Inc.	Canada	SM CAP
Smartlogik Group plc	United Kingdom	NMS
Smedvig ASA	Norway	NYSE
Smith & Nephew plc	United Kingdom	NYSE
Softcare EC.com Inc.	Canada	OTC
Sonera Corp.	Finland	NMS
Song Networks Holding AB	Sweden	NMS
Song Networks N.V.	Netherlands	OTC - Debt
Sonus Corp.	Canada	AMEX
Sony Corp.	Japan	NYSE
Sopheon plc	United Kingdom	OTC
Southwestern Resources Corp.	Canada	OTC
Sparkling Spring Water Group Ltd.	Canada	OTC - Debt
Spectrum Signal Processing Inc.	Canada	NMS
Spirent plc	United Kingdom	NYSE
Sportech plc	United Kingdom	OTC
Spur Ventures Inc.	Canada	OTC
SQM - Sociedad Quimica y Minera S.A.	Chile	NYSE
ST Assembly Test Services Ltd.	Singapore	NMS
Stagecoach Holdings plc	United Kingdom	OTC - Debt
Stake Technology Ltd.	Canada	SM CAP
Star Choice Communications Inc.	Canada	OTC - Debt
Star Resources Corp.	Canada	OTC
Starfield Resources Inc.	Canada	OTC
Stargate Entertainment Inc.	Canada	OTC
Statoil ASA	Norway	NYSE
Stelmar Shipping Ltd.	Liberia	NYSE
Stena Line AB	Sweden	OTC - Debt
STET Hellas Telecommunications S.A.	Greece	NMS
STMicroelectronics N.V.	Netherlands	NYSE
Stockscape.com Technology Inc.	Canada	OTC
Stolt Nielsen S.A.	Luxembourg	NMS
Stolt Offshore S.A.	Luxembourg	NMS
Stora Enso OYJ	Finland	NYSE
Stressgen Biotechnologies Corp.	Canada	OTC
Suez	France	NYSE
Sulzer Medica Ltd.	Switzerland	NYSE
Sun International Hotels Ltd.	Bahamas	NYSE
Sun Life Financial Services of Canada	Canada	NYSE
Sun Media Corp.	Canada	OTC
Suncor Energy Inc.	Canada	NYSE
Sunday Communications Ltd.	Cayman Islands	NMS
Sungold Entertainment Corp.	Canada	OTC
Supermercados Unimarc S.A.	Chile	NYSE
Super-Sol Ltd.	Israel	NYSE
Swedish Export Credit Corp.	Sweden	NYSE - Preferred
Swedish Match AB	Sweden	NMS
Swisscom	Switzerland	NYSE
Syngenta AG	Switzerland	NYSE
SYNSORB Biotech Inc.	Canada	NMS
T.V.G. Technologies Ltd.	Israel	OTC
Taiwan Semiconductor Manufacturing Co. Ltd.	Taiwan	NYSE
Talisman Energy Inc.	Canada	NYSE
Talisman Enterprise Inc.	Canada	OTC
Taro Pharmaceutical Industries Ltd.	Israel	NMS
Taseko Mines Ltd.	Canada	OTC
TAT Technologies Ltd.	Israel	NMS
TDC A/S	Denmark	NYSE
TDK Corp.	Japan	NYSE
TDL Infomedia Group plc	United Kingdom	OTC - Debt
Technip-Coflexip	France	NYSE
Techsite Strategies Corp.	Canada	OTC
Teck Ltd.	Canada	OTC - Debt
Tecnomatix Technologies Ltd.	Israel	NMS
Teekay Shipping Inc.	Marshall Islands	NYSE
Tefron Ltd.	Israel	NYSE
Tele Celular Sul Participacoes S.A.	Brazil	NYSE
Tele Centro Oeste Celular Participacoes S.A.	Brazil	NYSE
Tele Leste Celular Participacoes S.A.	Brazil	NYSE
Tele Nordeste Celular Participacoes S.A.	Brazil	NYSE
Tele Norte Celular Participacoes S.A.	Brazil	NYSE
Tele Norte Leste Participacoes S.A.	Brazil	NYSE
Tele Sudeste Celular Participacoes S.A.	Brazil	NYSE
Tele2 AB	Sweden	NMS
Telebras S.A.	Brazil	OTC
Telecom Argentina STET France Telecom S.A.	Argentina	NYSE
Telecom Corp of New Zealand Ltd.	New Zealand	NYSE
Telecom Italia S.p.A.	Italy	NYSE
Telecomunicaios de Sao Paulo S.A. - Telesp	Brazil	NYSE
Telefonaktiebolaget L M Ericsson	Sweden	NMS
Telefonica de Argentina S.A.	Argentina	NYSE
Telefonica del Peru S.A.	Peru	NYSE
Telefonica Holding of Argentina, Inc.	Argentina	OTC - Debt
Telefonica Moviles, S.A.	Spain	NYSE
Telefonica S.A.	Spain	NYSE
Telefonos de Mexico S.A. de C.V.	Mexico	NYSE
Teleglobe Inc.	Canada	OTC
Telekom Austria	Austria	NYSE
Telemig Celular Participacoes S.A.	Brazil	NYSE
Telenor ASA	Norway	NMS
Telesis North Communications Inc.	Canada	OTC
Telesp Celular Participacoes S.A.	Brazil	NYSE
Telesystem International Wireless Inc.	Canada	NMS
TeleWest Communications plc	United Kingdom	NMS
Telex Chile S.A.	Chile	NYSE
Telstra Corp Ltd.	Australia	NYSE
Telus Corp.	Canada	NYSE
Tembec Industries Inc.	Canada	OTC - Debt
Terra Networks S.A.	Spain	NMS
Terra Nova Bermuda Holdings Ltd.	Bermuda	OTC
Tesco Corp.	Canada	NMS
Tesma International Inc.	Canada	NMS
Teva Pharmaceutical Industries Ltd.	Israel	NMS
Tevecap S.A.	Brazil	OTC
Texon International plc	United Kingdom	OTC - Debt
TFM, S.A. de C.V.	Mexico	OTC - Debt
Thermo Tech Technologies Corp.	Canada	OTC
Thinkpath.com Inc.	Canada	SM CAP
Thomson Corp	Canada	OTC
Thomson Multimedia	France	NYSE
Thrilltime Entertainment International Inc.	Canada	OTC
Thrush Industries Inc.	Canada	OTC
Tioga Technologies Ltd.	Israel	OTC
Titan Trading Analytics Inc.	Canada	OTC
TLC The Laser Center Inc.	Canada	NMS
TM Group Holdings plc	United Kingdom	OTC - Debt
