COMPANY	COUNTRY	MARKET
Banco Santiago	Chile	NYSE
Banco Totta & Acores S.A.	Portugal	NYSE - Preferred
BanColombia S.A.	Colombia	NYSE
Bank of Montreal	Canada	NYSE
Barak I.T.C. (1995) - International Telecommunications Services Corp.	Israel	OTC - Debt
Barbeques Galore Ltd.	Australia	NMS
Barclays Bank plc	United Kingdom	NYSE - Preferred
Barclays plc	United Kingdom	NYSE
Barrick Gold Corp.	Canada	NYSE
BASF Aktiengesellschaft	Germany	NYSE
Battery Technologies Inc.	Canada	OTC
Baytex Energy Ltd.	Canada	OTC - Debt
BBVA Banco BHIF	Chile	NYSE
BBVA Banco Frances S.A.	Argentina	NYSE
BCE Inc.	Canada	NYSE
BCI Telecom Holding Inc.	Canada	NMS
BE Semiconductor Industries N.V.	Netherlands	NMS
Beijing Yanhua Petrochemical Co. Ltd.	China	NYSE
Bell Canada	Canada	OTC - Debt
Belmont Resources, Inc.	Canada	OTC
Belzberg Technologies Inc.	Canada	OTC
Bema Gold Corp.	Canada	AMEX
Benetton Group S.p.A.	Italy	NYSE
Benguet	Philippines	OTC
Bennett Environmental Inc.	Canada	AMEX
Berkley Resources Inc.	Canada	OTC
Bestel S.A. de C.V.	Mexico	OTC - Debt
BG Group plc	United Kingdom	NYSE
BHP Billiton Ltd.	Australia	NYSE
Biacore International AB	Sweden	NMS
Big Rock Brewery Ltd.	Canada	NMS
Bioforest Pacific Inc.	Canada	OTC
Biomira Inc.	Canada	NMS
Biora AB	Sweden	OTC
Biovail Corporation	Canada	NYSE
Birch Mountain Resources Ltd.	Canada	OTC
Blue Square - Israel Ltd.	Israel	NYSE
Boardwalk Equities Inc.	Canada	NYSE
BOC Group plc	United Kingdom	NYSE
Bonso Electronics International Inc.	British Virgin Islands	NMS
Bookham Technology plc	United Kingdom	NMS
BOS Better Online Solutions Ltd.	Israel	SM CAP
Bouygues Offshore S.A.	France	NYSE
BP plc	United Kingdom	NYSE
Bracknell Corp.	Canada	OTC
Bradner Ventures Ltd.	Canada	OTC
Brandera.com Inc.	Canada	OTC
Brascan Corp.	Canada	NYSE
Brasil Telecom Participacoes S.A.	Brazil	NYSE
Brasil Telecom S.A.	Brazil	NYSE
Bravo Resource Partners Ltd.	Canada	OTC
Breakwater Resources Ltd.	Canada	OTC
Brilliance China Automotive Holdings Ltd.	Bermuda	NYSE
British Airways plc	United Kingdom	NYSE
British Biotech plc	United Kingdom	NMS
British Energy plc	United Kingdom	NYSE
British Sky Broadcasting Group plc	United Kingdom	NYSE
Brocker Technology Group Ltd.	Canada	OTC
Brokat Aktiengesellschaft	Germany	OTC
Brookfield Properties Corp.	Canada	NYSE
BT Group plc	United Kingdom	NYSE
Buenos Aires Embotelladora S.A.-BAESA	Argentina	OTC
Buffalo Diamonds Ltd.	Canada	OTC
Buhrmann N.V.	Netherlands	NYSE
Bunge Ltd.	Bermuda	NYSE
Bunzl plc	United Kingdom	NYSE
BVR Systems Ltd.	Israel	SM CAP
BVR Technologies Ltd.	Israel	SM CAP
Cable and Wireless plc	United Kingdom	NYSE
Cable Satisfaction International Inc.	Canada	OTC - Debt
Cabletel Communications Corp.	Canada	AMEX
Cableuropa, S.A.	United Kingdom	OTC - Debt
Cablevision S.A.	Argentina	OTC - Debt
Cadbury Schweppes plc	United Kingdom	NYSE
Cade Struktur Corp.	Canada	OTC
Calais Resources Inc.	Canada	OTC
CalciTech Ltd.	Canada	OTC
Caledonia Mining Corp.	Canada	OTC
California Exploration Ltd.	Canada	OTC
Call Net Enterprises Inc.	Canada	OTC
Callahan Nordheim-Westfalen GmbH	Germany	OTC - Debt
Cambior Inc.	Canada	AMEX
Cambridge Antibody Technology Group plc	United Kingdom	NMS
Cameco Co.	Canada	NYSE
Camflo Resources Ltd.	Canada	OTC
Campbell Resources Inc.	Canada	OTC
Camtek Ltd.	Israel	NMS
Camuzzi Gas del Sur S.A.	Argentina	OTC
Camuzzi Gas Pampeana S.A.	Argentina	OTC
Canada Life Financial Corp.	Canada	NYSE
Canada Southern Petroleum Ltd.	Canada	SM CAP
