
Browse Swift Codes in CHINA (US SWIFT Code)

We have provided you with a list of SWIFT codes for all banks currently present in China. But note that the mentioned list of SWIFT codes contains just the active participants who are linked to the SWIFT network. However the inactive participants are omitted from here.

More codes for all banks in China.
More codes for AGRICULTURAL BANK OF CHINAbranch.
More codes forAGRICULTURAL DEVELOPMENT BANK OF CHINA branch.
More codes for BANK OF CHINA branch.
More codes for BANK OF COMMUNICATIONS branch.
More codes for CHINA CITIC BANK branch.
More codes for CHINA CONSTRUCTION BANK branch.
More codes for CHINA DEVELOPMENT BANK branch.
More codes for CHINA EVERBRIGHT BANK branch.
More codes for CHINA MERCHANTS BANK branch.
More codes for CHINA MINSHENG BANK branch.
More codes for GUANGDONG DEVELOPMENT BANK branch.
More codes for HUA XIA BANK branch.
More codes for INDUSTRIAL AND COMMERCIAL BANK OF CHINA branch.
More codes for INDUSTRIAL BANK branch.
More codes for SHANGHAI PUDONG DEVELOPMENT BANK branch.

No	Institution	City Heading	Branch Name	Swift Code
53	BANK OF EAST ASIA (CHINA) LIMITED, THE	SHANGHAI	(CHINA TREASURY CENTER)	BEASCNSHCTC
54	BANK OF EAST ASIA (CHINA) LIMITED, THE	SHANGHAI	(PUXI SUBBRANCH)	BEASCNSHSUB
55	BANK OF EAST ASIA (CHINA) LIMITED, THE	SHANGHAI	(SHANGHAI BRANCH)	BEASCNSHXXX
56	BANK OF EAST ASIA (CHINA) LIMITED, THE	SHENYANG	(SHENYANG BRANCH)	BEASCNSHSYG
57	BANK OF EAST ASIA (CHINA) LIMITED, THE	SHENZHEN	(SHENZHEN BRANCH)	BEASCNSHSZN
58	BANK OF EAST ASIA (CHINA) LIMITED, THE	TIANJIN	(TIAN JIN BRANCH)	BEASCNSHTJN
59	BANK OF EAST ASIA (CHINA) LIMITED, THE	URUMQI	(URUMQI BRANCH)	BEASCNSHURM
60	BANK OF EAST ASIA (CHINA) LIMITED, THE	WUHAN	(WU HAN BRANCH)	BEASCNSHWHN
61	BANK OF EAST ASIA (CHINA) LIMITED, THE	XIAMEN	(XIAMEN BRANCH)	BEASCNSHSMN
62	BANK OF EAST ASIA (CHINA) LIMITED, THE	XIAN	(XIAN BRANCH)	BEASCNSHBXN
63	BANK OF EAST ASIA (CHINA) LIMITED, THE	ZHUHAI	(ZHUHAI BRANCH)	BEASCNSHZHI
64	BANK OF HANGZHOU CO., LTD	HANGZHOU		HZCBCN2HXXX
65	BANK OF HANGZHOU CO., LTD	BEIJING	(BEIJING BRANCH)	HZCBCN2HBJB
66	BANK OF HANGZHOU CO., LTD	NINGBO	(NINGBOBRANCH)	HZCBCN2HNBB
67	BANK OF HANGZHOU CO., LTD	SHANGHAI	(SHANGHAI BRANCH)	HZCBCN2HSHB
68	BANK OF HANGZHOU CO., LTD	SHENZHEN	(SHENZHEN BRANCH)	HZCBCN2HSZB
69	BANK OF HANGZHOU CO., LTD	ZHOUSHAN	(ZHOUSHAN BRANCH)	HZCBCN2HZSB
70	BANK OF INDIA	SHENZHEN		BKIDCNBSXXX
71	BANK OF JIANGSU CO LTD	NANJING		BOJSCNBNXXX
72	BANK OF JIANGSU CO., LTD WUXI BRANCH	WUXI		WXCBCNSHXXX
73	BANK OF JIANGSU CO.,LTD SUZHOU BRANCH	SUZHOU		SCCBCNSUXXX
74	BANK OF JIANGSU CO.,LTD. NANTONG BRANCH	NANTONG		NGCBCNSHXXX
75	BANK OF JIANGSU CO.,LTD. YANGZHOU BRANCH	YANGZHOU		YZCBCNSHXXX
76	BANK OF JIANGSU,ZHENJIANG BRANCH	ZHENJIANG		ZJBKCNSHXXX
77	BANK OF JILIN CO., LTD	CHANGCHUN		JLBKCNBJXXX
78	BANK OF JINZHOU	JINZHOU		JZCBCNBJXXX
79	BANK OF JINZHOU	SHENYANG	(SHENYANG BRANCH)	JZCBCNBJSYN
80	BANK OF JINZHOU	TIANJIN	(TIANJIN BRANCH)	JZCBCNBJTJN
81	BANK OF JIUJIANG CO.,LTD	JIUJIANG		BOJJCNBJXXX
82	BANK OF LANZHOU CO., LTD	LANZHOU		LZCBCNBLXXX
83	BANK OF MONTREAL	BEIJING		BOFMCNBJXXX
84	BANK OF MONTREAL	GUANGZHOU		BOFMCN22XXX
85	BANK OF MONTREAL LTD	SHANGHAI		BOFMCNSHXXX
86	BANK OF NANCHANG	JIANGXI		NCCKCNBNXXX
87	BANK OF NANJING (FORMERLY NANJING CITY COMMERCIAL BANK)	NANJING		NJCBCNBNXXX
88	BANK OF NINGBO	HANGZHOU	(HANGZHOU BRANCH)	BKNBCN2NHAN
89	BANK OF NINGBO	NANJING	(NANJING BRANCH)	BKNBCN2NNAN
90	BANK OF NINGBO	NINGBO		BKNBCN2NXXX
91	BANK OF NINGBO	SHANGHAI	(SHANGHAI BRANCH)	BKNBCN2NSHA
92	BANK OF NINGBO	SHENZHEN	(SHENZHEN BRANCH)	BKNBCN2NSHE
93	BANK OF NINGBO	SUZHOU	(SUZHOU BRANCH)	BKNBCN2NSUZ
94	BANK OF NINGXIA (FORMERLY YINCHUAN CITY COMMERCIAL BANK)	YINCHUAN		YCCBCNBYXXX
95	BANK OF NOVA SCOTIA, THE	CHONGQING	(CHONGQING BRANCH)	NOSCCN22CKG
96	BANK OF NOVA SCOTIA, THE	GUANGZHOU		NOSCCN22XXX
97	BANK OF NOVA SCOTIA, THE	SHANGHAI	(SHANGHAI BRANCH)	NOSCCN22SHI
98	BANK OF QINGDAO	QINGDAO		QCCBCNBQXXX
99	BANK OF QINGHAI CO.,LTD	XINING		BOXNCNBLXXX
100	BANK OF RIZHAO	QINGDAO	(QINGDAO BRANCH)	RZCBCNBDQD1
101	BANK OF RIZHAO	RIZHAO		RZCBCNBDXXX
102	BANK OF SHANGHAI	CHENGDU	(CHENG DU BRANCH)	BOSHCNSHCDA
103	BANK OF SHANGHAI	HANGZHOU	(HANGZHOU BRANCH)	BOSHCNSHHZA
104	BANK OF SHANGHAI	NANJING	(NANJING BRANCH)	BOSHCNSHNJA
105	BANK OF SHANGHAI	NINGBO	(NINGBO BRANCH)	BOSHCNSHNBA
106	BANK OF SHANGHAI	SHANGHAI	(INTERNATIONAL BUSINESS DEPARTMENT)	BOSHCNSHXXX
